clean,corrupted,start_year
The existence lasted from the year 1630 to the year 16,The existence lasted from the year 1601 to the year 16,30
The impact lasted from the year 1356 to the year 13,The impact lasted from the year 1301 to the year 13,56
The progress lasted from the year 1268 to the year 12,The progress lasted from the year 1201 to the year 12,68
The contact lasted from the year 1398 to the year 13,The contact lasted from the year 1301 to the year 13,98
The program lasted from the year 1631 to the year 16,The program lasted from the year 1601 to the year 16,31
The existence lasted from the year 1492 to the year 14,The existence lasted from the year 1401 to the year 14,92
The attack lasted from the year 1378 to the year 13,The attack lasted from the year 1301 to the year 13,78
The testing lasted from the year 1649 to the year 16,The testing lasted from the year 1601 to the year 16,49
The process lasted from the year 1784 to the year 17,The process lasted from the year 1701 to the year 17,84
The trial lasted from the year 1130 to the year 11,The trial lasted from the year 1101 to the year 11,30
The practice lasted from the year 1713 to the year 17,The practice lasted from the year 1701 to the year 17,13
The test lasted from the year 1246 to the year 12,The test lasted from the year 1201 to the year 12,46
The case lasted from the year 1719 to the year 17,The case lasted from the year 1701 to the year 17,19
The riot lasted from the year 1331 to the year 13,The riot lasted from the year 1301 to the year 13,31
The practice lasted from the year 1238 to the year 12,The practice lasted from the year 1201 to the year 12,38
The effect lasted from the year 1792 to the year 17,The effect lasted from the year 1701 to the year 17,92
The attack lasted from the year 1562 to the year 15,The attack lasted from the year 1501 to the year 15,62
The attack lasted from the year 1333 to the year 13,The attack lasted from the year 1301 to the year 13,33
The effect lasted from the year 1514 to the year 15,The effect lasted from the year 1501 to the year 15,14
The progress lasted from the year 1398 to the year 13,The progress lasted from the year 1301 to the year 13,98
The effect lasted from the year 1540 to the year 15,The effect lasted from the year 1501 to the year 15,40
The case lasted from the year 1518 to the year 15,The case lasted from the year 1501 to the year 15,18
The order lasted from the year 1793 to the year 17,The order lasted from the year 1701 to the year 17,93
The riot lasted from the year 1438 to the year 14,The riot lasted from the year 1401 to the year 14,38
The test lasted from the year 1268 to the year 12,The test lasted from the year 1201 to the year 12,68
The campaign lasted from the year 1143 to the year 11,The campaign lasted from the year 1101 to the year 11,43
The marriage lasted from the year 1408 to the year 14,The marriage lasted from the year 1401 to the year 14,8
The process lasted from the year 1607 to the year 16,The process lasted from the year 1601 to the year 16,7
The practice lasted from the year 1527 to the year 15,The practice lasted from the year 1501 to the year 15,27
The rise lasted from the year 1223 to the year 12,The rise lasted from the year 1201 to the year 12,23
The impact lasted from the year 1139 to the year 11,The impact lasted from the year 1101 to the year 11,39
The work lasted from the year 1204 to the year 12,The work lasted from the year 1201 to the year 12,4
The work lasted from the year 1434 to the year 14,The work lasted from the year 1401 to the year 14,34
The impact lasted from the year 1790 to the year 17,The impact lasted from the year 1701 to the year 17,90
The shift lasted from the year 1149 to the year 11,The shift lasted from the year 1101 to the year 11,49
The tests lasted from the year 1455 to the year 14,The tests lasted from the year 1401 to the year 14,55
The tests lasted from the year 1286 to the year 12,The tests lasted from the year 1201 to the year 12,86
The study lasted from the year 1422 to the year 14,The study lasted from the year 1401 to the year 14,22
The quest lasted from the year 1242 to the year 12,The quest lasted from the year 1201 to the year 12,42
The quest lasted from the year 1477 to the year 14,The quest lasted from the year 1401 to the year 14,77
The testing lasted from the year 1645 to the year 16,The testing lasted from the year 1601 to the year 16,45
The shift lasted from the year 1722 to the year 17,The shift lasted from the year 1701 to the year 17,22
The case lasted from the year 1224 to the year 12,The case lasted from the year 1201 to the year 12,24
The rise lasted from the year 1785 to the year 17,The rise lasted from the year 1701 to the year 17,85
The riot lasted from the year 1380 to the year 13,The riot lasted from the year 1301 to the year 13,80
The tests lasted from the year 1362 to the year 13,The tests lasted from the year 1301 to the year 13,62
The process lasted from the year 1183 to the year 11,The process lasted from the year 1101 to the year 11,83
The contact lasted from the year 1763 to the year 17,The contact lasted from the year 1701 to the year 17,63
The plan lasted from the year 1130 to the year 11,The plan lasted from the year 1101 to the year 11,30
The campaign lasted from the year 1242 to the year 12,The campaign lasted from the year 1201 to the year 12,42
The contract lasted from the year 1204 to the year 12,The contract lasted from the year 1201 to the year 12,4
The fall lasted from the year 1150 to the year 11,The fall lasted from the year 1101 to the year 11,50
The rise lasted from the year 1592 to the year 15,The rise lasted from the year 1501 to the year 15,92
The tests lasted from the year 1543 to the year 15,The tests lasted from the year 1501 to the year 15,43
The practice lasted from the year 1740 to the year 17,The practice lasted from the year 1701 to the year 17,40
The marriage lasted from the year 1437 to the year 14,The marriage lasted from the year 1401 to the year 14,37
The effect lasted from the year 1205 to the year 12,The effect lasted from the year 1201 to the year 12,5
The contract lasted from the year 1540 to the year 15,The contract lasted from the year 1501 to the year 15,40
The practice lasted from the year 1230 to the year 12,The practice lasted from the year 1201 to the year 12,30
The project lasted from the year 1252 to the year 12,The project lasted from the year 1201 to the year 12,52
The practice lasted from the year 1532 to the year 15,The practice lasted from the year 1501 to the year 15,32
The deal lasted from the year 1263 to the year 12,The deal lasted from the year 1201 to the year 12,63
The contract lasted from the year 1442 to the year 14,The contract lasted from the year 1401 to the year 14,42
The riot lasted from the year 1536 to the year 15,The riot lasted from the year 1501 to the year 15,36
The case lasted from the year 1602 to the year 16,The case lasted from the year 1601 to the year 16,2
The attack lasted from the year 1458 to the year 14,The attack lasted from the year 1401 to the year 14,58
The tests lasted from the year 1757 to the year 17,The tests lasted from the year 1701 to the year 17,57
The quest lasted from the year 1470 to the year 14,The quest lasted from the year 1401 to the year 14,70
The existence lasted from the year 1316 to the year 13,The existence lasted from the year 1301 to the year 13,16
The contact lasted from the year 1175 to the year 11,The contact lasted from the year 1101 to the year 11,75
The development lasted from the year 1602 to the year 16,The development lasted from the year 1601 to the year 16,2
The tests lasted from the year 1237 to the year 12,The tests lasted from the year 1201 to the year 12,37
The operation lasted from the year 1621 to the year 16,The operation lasted from the year 1601 to the year 16,21
The work lasted from the year 1702 to the year 17,The work lasted from the year 1701 to the year 17,2
The rule lasted from the year 1403 to the year 14,The rule lasted from the year 1401 to the year 14,3
The study lasted from the year 1744 to the year 17,The study lasted from the year 1701 to the year 17,44
The work lasted from the year 1566 to the year 15,The work lasted from the year 1501 to the year 15,66
The marriage lasted from the year 1763 to the year 17,The marriage lasted from the year 1701 to the year 17,63
The contract lasted from the year 1456 to the year 14,The contract lasted from the year 1401 to the year 14,56
The test lasted from the year 1605 to the year 16,The test lasted from the year 1601 to the year 16,5
The quest lasted from the year 1622 to the year 16,The quest lasted from the year 1601 to the year 16,22
The test lasted from the year 1455 to the year 14,The test lasted from the year 1401 to the year 14,55
The deal lasted from the year 1627 to the year 16,The deal lasted from the year 1601 to the year 16,27
The employment lasted from the year 1283 to the year 12,The employment lasted from the year 1201 to the year 12,83
The deal lasted from the year 1239 to the year 12,The deal lasted from the year 1201 to the year 12,39
The rule lasted from the year 1695 to the year 16,The rule lasted from the year 1601 to the year 16,95
The development lasted from the year 1693 to the year 16,The development lasted from the year 1601 to the year 16,93
The progress lasted from the year 1730 to the year 17,The progress lasted from the year 1701 to the year 17,30
The process lasted from the year 1444 to the year 14,The process lasted from the year 1401 to the year 14,44
The order lasted from the year 1297 to the year 12,The order lasted from the year 1201 to the year 12,97
The growth lasted from the year 1286 to the year 12,The growth lasted from the year 1201 to the year 12,86
The contract lasted from the year 1659 to the year 16,The contract lasted from the year 1601 to the year 16,59
The operation lasted from the year 1453 to the year 14,The operation lasted from the year 1401 to the year 14,53
The shift lasted from the year 1780 to the year 17,The shift lasted from the year 1701 to the year 17,80
The effect lasted from the year 1683 to the year 16,The effect lasted from the year 1601 to the year 16,83
The growth lasted from the year 1282 to the year 12,The growth lasted from the year 1201 to the year 12,82
The growth lasted from the year 1145 to the year 11,The growth lasted from the year 1101 to the year 11,45
The trip lasted from the year 1423 to the year 14,The trip lasted from the year 1401 to the year 14,23
The rise lasted from the year 1317 to the year 13,The rise lasted from the year 1301 to the year 13,17
The program lasted from the year 1717 to the year 17,The program lasted from the year 1701 to the year 17,17
The project lasted from the year 1472 to the year 14,The project lasted from the year 1401 to the year 14,72
The study lasted from the year 1359 to the year 13,The study lasted from the year 1301 to the year 13,59
The quest lasted from the year 1174 to the year 11,The quest lasted from the year 1101 to the year 11,74
The rule lasted from the year 1229 to the year 12,The rule lasted from the year 1201 to the year 12,29
The development lasted from the year 1333 to the year 13,The development lasted from the year 1301 to the year 13,33
The contact lasted from the year 1140 to the year 11,The contact lasted from the year 1101 to the year 11,40
The process lasted from the year 1202 to the year 12,The process lasted from the year 1201 to the year 12,2
The rise lasted from the year 1511 to the year 15,The rise lasted from the year 1501 to the year 15,11
The contact lasted from the year 1714 to the year 17,The contact lasted from the year 1701 to the year 17,14
The deal lasted from the year 1326 to the year 13,The deal lasted from the year 1301 to the year 13,26
The order lasted from the year 1350 to the year 13,The order lasted from the year 1301 to the year 13,50
The plan lasted from the year 1351 to the year 13,The plan lasted from the year 1301 to the year 13,51
The effect lasted from the year 1576 to the year 15,The effect lasted from the year 1501 to the year 15,76
The fall lasted from the year 1174 to the year 11,The fall lasted from the year 1101 to the year 11,74
The operation lasted from the year 1231 to the year 12,The operation lasted from the year 1201 to the year 12,31
The tests lasted from the year 1797 to the year 17,The tests lasted from the year 1701 to the year 17,97
The work lasted from the year 1730 to the year 17,The work lasted from the year 1701 to the year 17,30
The attack lasted from the year 1365 to the year 13,The attack lasted from the year 1301 to the year 13,65
The trial lasted from the year 1409 to the year 14,The trial lasted from the year 1401 to the year 14,9
The case lasted from the year 1613 to the year 16,The case lasted from the year 1601 to the year 16,13
The tests lasted from the year 1269 to the year 12,The tests lasted from the year 1201 to the year 12,69
The process lasted from the year 1266 to the year 12,The process lasted from the year 1201 to the year 12,66
The impact lasted from the year 1557 to the year 15,The impact lasted from the year 1501 to the year 15,57
The fall lasted from the year 1345 to the year 13,The fall lasted from the year 1301 to the year 13,45
The rise lasted from the year 1498 to the year 14,The rise lasted from the year 1401 to the year 14,98
The effect lasted from the year 1651 to the year 16,The effect lasted from the year 1601 to the year 16,51
The practice lasted from the year 1161 to the year 11,The practice lasted from the year 1101 to the year 11,61
The impact lasted from the year 1524 to the year 15,The impact lasted from the year 1501 to the year 15,24
The practice lasted from the year 1488 to the year 14,The practice lasted from the year 1401 to the year 14,88
The impact lasted from the year 1229 to the year 12,The impact lasted from the year 1201 to the year 12,29
The trial lasted from the year 1729 to the year 17,The trial lasted from the year 1701 to the year 17,29
The process lasted from the year 1664 to the year 16,The process lasted from the year 1601 to the year 16,64
The case lasted from the year 1546 to the year 15,The case lasted from the year 1501 to the year 15,46
The deal lasted from the year 1794 to the year 17,The deal lasted from the year 1701 to the year 17,94
The trip lasted from the year 1567 to the year 15,The trip lasted from the year 1501 to the year 15,67
The growth lasted from the year 1723 to the year 17,The growth lasted from the year 1701 to the year 17,23
The contract lasted from the year 1644 to the year 16,The contract lasted from the year 1601 to the year 16,44
The effect lasted from the year 1296 to the year 12,The effect lasted from the year 1201 to the year 12,96
The employment lasted from the year 1568 to the year 15,The employment lasted from the year 1501 to the year 15,68
The testing lasted from the year 1679 to the year 16,The testing lasted from the year 1601 to the year 16,79
The marriage lasted from the year 1691 to the year 16,The marriage lasted from the year 1601 to the year 16,91
The shift lasted from the year 1761 to the year 17,The shift lasted from the year 1701 to the year 17,61
The quest lasted from the year 1668 to the year 16,The quest lasted from the year 1601 to the year 16,68
The process lasted from the year 1389 to the year 13,The process lasted from the year 1301 to the year 13,89
The existence lasted from the year 1341 to the year 13,The existence lasted from the year 1301 to the year 13,41
The effect lasted from the year 1688 to the year 16,The effect lasted from the year 1601 to the year 16,88
The practice lasted from the year 1263 to the year 12,The practice lasted from the year 1201 to the year 12,63
The contact lasted from the year 1680 to the year 16,The contact lasted from the year 1601 to the year 16,80
The operation lasted from the year 1383 to the year 13,The operation lasted from the year 1301 to the year 13,83
The trip lasted from the year 1769 to the year 17,The trip lasted from the year 1701 to the year 17,69
The work lasted from the year 1537 to the year 15,The work lasted from the year 1501 to the year 15,37
The contact lasted from the year 1225 to the year 12,The contact lasted from the year 1201 to the year 12,25
The deal lasted from the year 1351 to the year 13,The deal lasted from the year 1301 to the year 13,51
The project lasted from the year 1704 to the year 17,The project lasted from the year 1701 to the year 17,4
The progress lasted from the year 1636 to the year 16,The progress lasted from the year 1601 to the year 16,36
The order lasted from the year 1352 to the year 13,The order lasted from the year 1301 to the year 13,52
The riot lasted from the year 1747 to the year 17,The riot lasted from the year 1701 to the year 17,47
The deal lasted from the year 1557 to the year 15,The deal lasted from the year 1501 to the year 15,57
The quest lasted from the year 1278 to the year 12,The quest lasted from the year 1201 to the year 12,78
The impact lasted from the year 1770 to the year 17,The impact lasted from the year 1701 to the year 17,70
The work lasted from the year 1373 to the year 13,The work lasted from the year 1301 to the year 13,73
The quest lasted from the year 1364 to the year 13,The quest lasted from the year 1301 to the year 13,64
The testing lasted from the year 1759 to the year 17,The testing lasted from the year 1701 to the year 17,59
The testing lasted from the year 1363 to the year 13,The testing lasted from the year 1301 to the year 13,63
The operation lasted from the year 1384 to the year 13,The operation lasted from the year 1301 to the year 13,84
The attack lasted from the year 1486 to the year 14,The attack lasted from the year 1401 to the year 14,86
The trip lasted from the year 1318 to the year 13,The trip lasted from the year 1301 to the year 13,18
The test lasted from the year 1221 to the year 12,The test lasted from the year 1201 to the year 12,21
The effect lasted from the year 1610 to the year 16,The effect lasted from the year 1601 to the year 16,10
The rule lasted from the year 1652 to the year 16,The rule lasted from the year 1601 to the year 16,52
The practice lasted from the year 1614 to the year 16,The practice lasted from the year 1601 to the year 16,14
The testing lasted from the year 1241 to the year 12,The testing lasted from the year 1201 to the year 12,41
The attack lasted from the year 1175 to the year 11,The attack lasted from the year 1101 to the year 11,75
The riot lasted from the year 1389 to the year 13,The riot lasted from the year 1301 to the year 13,89
The fall lasted from the year 1141 to the year 11,The fall lasted from the year 1101 to the year 11,41
The program lasted from the year 1596 to the year 15,The program lasted from the year 1501 to the year 15,96
The trial lasted from the year 1627 to the year 16,The trial lasted from the year 1601 to the year 16,27
The testing lasted from the year 1448 to the year 14,The testing lasted from the year 1401 to the year 14,48
The shift lasted from the year 1706 to the year 17,The shift lasted from the year 1701 to the year 17,6
The tests lasted from the year 1473 to the year 14,The tests lasted from the year 1401 to the year 14,73
The development lasted from the year 1449 to the year 14,The development lasted from the year 1401 to the year 14,49
The case lasted from the year 1686 to the year 16,The case lasted from the year 1601 to the year 16,86
The rule lasted from the year 1398 to the year 13,The rule lasted from the year 1301 to the year 13,98
The project lasted from the year 1405 to the year 14,The project lasted from the year 1401 to the year 14,5
The fall lasted from the year 1445 to the year 14,The fall lasted from the year 1401 to the year 14,45
The study lasted from the year 1709 to the year 17,The study lasted from the year 1701 to the year 17,9
The attack lasted from the year 1624 to the year 16,The attack lasted from the year 1601 to the year 16,24
The contact lasted from the year 1263 to the year 12,The contact lasted from the year 1201 to the year 12,63
The employment lasted from the year 1536 to the year 15,The employment lasted from the year 1501 to the year 15,36
The rise lasted from the year 1260 to the year 12,The rise lasted from the year 1201 to the year 12,60
The trip lasted from the year 1272 to the year 12,The trip lasted from the year 1201 to the year 12,72
The marriage lasted from the year 1668 to the year 16,The marriage lasted from the year 1601 to the year 16,68
The practice lasted from the year 1781 to the year 17,The practice lasted from the year 1701 to the year 17,81
The progress lasted from the year 1697 to the year 16,The progress lasted from the year 1601 to the year 16,97
The progress lasted from the year 1433 to the year 14,The progress lasted from the year 1401 to the year 14,33
The riot lasted from the year 1655 to the year 16,The riot lasted from the year 1601 to the year 16,55
The attack lasted from the year 1637 to the year 16,The attack lasted from the year 1601 to the year 16,37
The contract lasted from the year 1243 to the year 12,The contract lasted from the year 1201 to the year 12,43
The fall lasted from the year 1536 to the year 15,The fall lasted from the year 1501 to the year 15,36
The rise lasted from the year 1412 to the year 14,The rise lasted from the year 1401 to the year 14,12
The contract lasted from the year 1765 to the year 17,The contract lasted from the year 1701 to the year 17,65
The program lasted from the year 1442 to the year 14,The program lasted from the year 1401 to the year 14,42
The progress lasted from the year 1511 to the year 15,The progress lasted from the year 1501 to the year 15,11
The study lasted from the year 1350 to the year 13,The study lasted from the year 1301 to the year 13,50
The operation lasted from the year 1425 to the year 14,The operation lasted from the year 1401 to the year 14,25
The quest lasted from the year 1787 to the year 17,The quest lasted from the year 1701 to the year 17,87
The growth lasted from the year 1777 to the year 17,The growth lasted from the year 1701 to the year 17,77
The tests lasted from the year 1148 to the year 11,The tests lasted from the year 1101 to the year 11,48
The process lasted from the year 1527 to the year 15,The process lasted from the year 1501 to the year 15,27
The case lasted from the year 1208 to the year 12,The case lasted from the year 1201 to the year 12,8
The tests lasted from the year 1482 to the year 14,The tests lasted from the year 1401 to the year 14,82
The attack lasted from the year 1779 to the year 17,The attack lasted from the year 1701 to the year 17,79
The riot lasted from the year 1559 to the year 15,The riot lasted from the year 1501 to the year 15,59
The rise lasted from the year 1133 to the year 11,The rise lasted from the year 1101 to the year 11,33
The marriage lasted from the year 1453 to the year 14,The marriage lasted from the year 1401 to the year 14,53
The program lasted from the year 1432 to the year 14,The program lasted from the year 1401 to the year 14,32
The rise lasted from the year 1259 to the year 12,The rise lasted from the year 1201 to the year 12,59
The riot lasted from the year 1591 to the year 15,The riot lasted from the year 1501 to the year 15,91
The testing lasted from the year 1664 to the year 16,The testing lasted from the year 1601 to the year 16,64
The shift lasted from the year 1427 to the year 14,The shift lasted from the year 1401 to the year 14,27
The tests lasted from the year 1662 to the year 16,The tests lasted from the year 1601 to the year 16,62
The trip lasted from the year 1150 to the year 11,The trip lasted from the year 1101 to the year 11,50
The contract lasted from the year 1221 to the year 12,The contract lasted from the year 1201 to the year 12,21
The growth lasted from the year 1405 to the year 14,The growth lasted from the year 1401 to the year 14,5
The campaign lasted from the year 1248 to the year 12,The campaign lasted from the year 1201 to the year 12,48
The program lasted from the year 1485 to the year 14,The program lasted from the year 1401 to the year 14,85
The work lasted from the year 1260 to the year 12,The work lasted from the year 1201 to the year 12,60
The work lasted from the year 1521 to the year 15,The work lasted from the year 1501 to the year 15,21
The operation lasted from the year 1664 to the year 16,The operation lasted from the year 1601 to the year 16,64
The progress lasted from the year 1361 to the year 13,The progress lasted from the year 1301 to the year 13,61
The impact lasted from the year 1735 to the year 17,The impact lasted from the year 1701 to the year 17,35
The test lasted from the year 1541 to the year 15,The test lasted from the year 1501 to the year 15,41
The effect lasted from the year 1755 to the year 17,The effect lasted from the year 1701 to the year 17,55
The employment lasted from the year 1368 to the year 13,The employment lasted from the year 1301 to the year 13,68
The trial lasted from the year 1714 to the year 17,The trial lasted from the year 1701 to the year 17,14
The case lasted from the year 1672 to the year 16,The case lasted from the year 1601 to the year 16,72
The employment lasted from the year 1759 to the year 17,The employment lasted from the year 1701 to the year 17,59
The shift lasted from the year 1442 to the year 14,The shift lasted from the year 1401 to the year 14,42
The fall lasted from the year 1510 to the year 15,The fall lasted from the year 1501 to the year 15,10
The operation lasted from the year 1750 to the year 17,The operation lasted from the year 1701 to the year 17,50
The employment lasted from the year 1575 to the year 15,The employment lasted from the year 1501 to the year 15,75
The program lasted from the year 1394 to the year 13,The program lasted from the year 1301 to the year 13,94
The plan lasted from the year 1574 to the year 15,The plan lasted from the year 1501 to the year 15,74
The progress lasted from the year 1710 to the year 17,The progress lasted from the year 1701 to the year 17,10
The practice lasted from the year 1435 to the year 14,The practice lasted from the year 1401 to the year 14,35
The deal lasted from the year 1268 to the year 12,The deal lasted from the year 1201 to the year 12,68
The order lasted from the year 1353 to the year 13,The order lasted from the year 1301 to the year 13,53
The shift lasted from the year 1478 to the year 14,The shift lasted from the year 1401 to the year 14,78
The existence lasted from the year 1455 to the year 14,The existence lasted from the year 1401 to the year 14,55
The impact lasted from the year 1624 to the year 16,The impact lasted from the year 1601 to the year 16,24
The fall lasted from the year 1779 to the year 17,The fall lasted from the year 1701 to the year 17,79
The operation lasted from the year 1404 to the year 14,The operation lasted from the year 1401 to the year 14,4
The rule lasted from the year 1780 to the year 17,The rule lasted from the year 1701 to the year 17,80
The development lasted from the year 1287 to the year 12,The development lasted from the year 1201 to the year 12,87
The riot lasted from the year 1407 to the year 14,The riot lasted from the year 1401 to the year 14,7
The contract lasted from the year 1752 to the year 17,The contract lasted from the year 1701 to the year 17,52
The program lasted from the year 1228 to the year 12,The program lasted from the year 1201 to the year 12,28
The tests lasted from the year 1587 to the year 15,The tests lasted from the year 1501 to the year 15,87
The marriage lasted from the year 1464 to the year 14,The marriage lasted from the year 1401 to the year 14,64
The test lasted from the year 1594 to the year 15,The test lasted from the year 1501 to the year 15,94
The effect lasted from the year 1629 to the year 16,The effect lasted from the year 1601 to the year 16,29
The operation lasted from the year 1667 to the year 16,The operation lasted from the year 1601 to the year 16,67
The employment lasted from the year 1725 to the year 17,The employment lasted from the year 1701 to the year 17,25
The testing lasted from the year 1629 to the year 16,The testing lasted from the year 1601 to the year 16,29
The growth lasted from the year 1313 to the year 13,The growth lasted from the year 1301 to the year 13,13
The riot lasted from the year 1640 to the year 16,The riot lasted from the year 1601 to the year 16,40
The rule lasted from the year 1357 to the year 13,The rule lasted from the year 1301 to the year 13,57
The trial lasted from the year 1187 to the year 11,The trial lasted from the year 1101 to the year 11,87
The employment lasted from the year 1346 to the year 13,The employment lasted from the year 1301 to the year 13,46
The work lasted from the year 1744 to the year 17,The work lasted from the year 1701 to the year 17,44
The rule lasted from the year 1394 to the year 13,The rule lasted from the year 1301 to the year 13,94
The testing lasted from the year 1590 to the year 15,The testing lasted from the year 1501 to the year 15,90
The contract lasted from the year 1785 to the year 17,The contract lasted from the year 1701 to the year 17,85
The progress lasted from the year 1288 to the year 12,The progress lasted from the year 1201 to the year 12,88
The order lasted from the year 1270 to the year 12,The order lasted from the year 1201 to the year 12,70
The shift lasted from the year 1731 to the year 17,The shift lasted from the year 1701 to the year 17,31
The project lasted from the year 1252 to the year 12,The project lasted from the year 1201 to the year 12,52
The riot lasted from the year 1317 to the year 13,The riot lasted from the year 1301 to the year 13,17
The program lasted from the year 1130 to the year 11,The program lasted from the year 1101 to the year 11,30
The case lasted from the year 1598 to the year 15,The case lasted from the year 1501 to the year 15,98
The fall lasted from the year 1348 to the year 13,The fall lasted from the year 1301 to the year 13,48
The case lasted from the year 1652 to the year 16,The case lasted from the year 1601 to the year 16,52
The deal lasted from the year 1781 to the year 17,The deal lasted from the year 1701 to the year 17,81
The employment lasted from the year 1173 to the year 11,The employment lasted from the year 1101 to the year 11,73
The riot lasted from the year 1278 to the year 12,The riot lasted from the year 1201 to the year 12,78
The existence lasted from the year 1314 to the year 13,The existence lasted from the year 1301 to the year 13,14
The quest lasted from the year 1415 to the year 14,The quest lasted from the year 1401 to the year 14,15
The existence lasted from the year 1619 to the year 16,The existence lasted from the year 1601 to the year 16,19
The rise lasted from the year 1542 to the year 15,The rise lasted from the year 1501 to the year 15,42
The rise lasted from the year 1613 to the year 16,The rise lasted from the year 1601 to the year 16,13
The quest lasted from the year 1358 to the year 13,The quest lasted from the year 1301 to the year 13,58
The deal lasted from the year 1478 to the year 14,The deal lasted from the year 1401 to the year 14,78
The practice lasted from the year 1693 to the year 16,The practice lasted from the year 1601 to the year 16,93
The growth lasted from the year 1707 to the year 17,The growth lasted from the year 1701 to the year 17,7
The fall lasted from the year 1605 to the year 16,The fall lasted from the year 1601 to the year 16,5
The shift lasted from the year 1329 to the year 13,The shift lasted from the year 1301 to the year 13,29
The fall lasted from the year 1620 to the year 16,The fall lasted from the year 1601 to the year 16,20
The existence lasted from the year 1370 to the year 13,The existence lasted from the year 1301 to the year 13,70
The effect lasted from the year 1625 to the year 16,The effect lasted from the year 1601 to the year 16,25
The rise lasted from the year 1369 to the year 13,The rise lasted from the year 1301 to the year 13,69
The shift lasted from the year 1649 to the year 16,The shift lasted from the year 1601 to the year 16,49
The contact lasted from the year 1328 to the year 13,The contact lasted from the year 1301 to the year 13,28
The work lasted from the year 1406 to the year 14,The work lasted from the year 1401 to the year 14,6
The program lasted from the year 1759 to the year 17,The program lasted from the year 1701 to the year 17,59
The quest lasted from the year 1526 to the year 15,The quest lasted from the year 1501 to the year 15,26
The program lasted from the year 1721 to the year 17,The program lasted from the year 1701 to the year 17,21
The contract lasted from the year 1591 to the year 15,The contract lasted from the year 1501 to the year 15,91
The project lasted from the year 1779 to the year 17,The project lasted from the year 1701 to the year 17,79
The fall lasted from the year 1780 to the year 17,The fall lasted from the year 1701 to the year 17,80
The program lasted from the year 1331 to the year 13,The program lasted from the year 1301 to the year 13,31
The progress lasted from the year 1256 to the year 12,The progress lasted from the year 1201 to the year 12,56
The marriage lasted from the year 1606 to the year 16,The marriage lasted from the year 1601 to the year 16,6
The testing lasted from the year 1282 to the year 12,The testing lasted from the year 1201 to the year 12,82
The case lasted from the year 1511 to the year 15,The case lasted from the year 1501 to the year 15,11
The work lasted from the year 1265 to the year 12,The work lasted from the year 1201 to the year 12,65
The marriage lasted from the year 1347 to the year 13,The marriage lasted from the year 1301 to the year 13,47
The campaign lasted from the year 1321 to the year 13,The campaign lasted from the year 1301 to the year 13,21
The progress lasted from the year 1218 to the year 12,The progress lasted from the year 1201 to the year 12,18
The employment lasted from the year 1337 to the year 13,The employment lasted from the year 1301 to the year 13,37
The fall lasted from the year 1516 to the year 15,The fall lasted from the year 1501 to the year 15,16
The work lasted from the year 1360 to the year 13,The work lasted from the year 1301 to the year 13,60
The effect lasted from the year 1664 to the year 16,The effect lasted from the year 1601 to the year 16,64
The progress lasted from the year 1533 to the year 15,The progress lasted from the year 1501 to the year 15,33
The trial lasted from the year 1443 to the year 14,The trial lasted from the year 1401 to the year 14,43
The marriage lasted from the year 1291 to the year 12,The marriage lasted from the year 1201 to the year 12,91
The progress lasted from the year 1644 to the year 16,The progress lasted from the year 1601 to the year 16,44
The progress lasted from the year 1374 to the year 13,The progress lasted from the year 1301 to the year 13,74
The work lasted from the year 1185 to the year 11,The work lasted from the year 1101 to the year 11,85
The deal lasted from the year 1403 to the year 14,The deal lasted from the year 1401 to the year 14,3
The contact lasted from the year 1557 to the year 15,The contact lasted from the year 1501 to the year 15,57
The testing lasted from the year 1593 to the year 15,The testing lasted from the year 1501 to the year 15,93
The shift lasted from the year 1703 to the year 17,The shift lasted from the year 1701 to the year 17,3
The work lasted from the year 1204 to the year 12,The work lasted from the year 1201 to the year 12,4
The effect lasted from the year 1712 to the year 17,The effect lasted from the year 1701 to the year 17,12
The impact lasted from the year 1614 to the year 16,The impact lasted from the year 1601 to the year 16,14
The rule lasted from the year 1313 to the year 13,The rule lasted from the year 1301 to the year 13,13
The riot lasted from the year 1515 to the year 15,The riot lasted from the year 1501 to the year 15,15
The contact lasted from the year 1786 to the year 17,The contact lasted from the year 1701 to the year 17,86
The rule lasted from the year 1676 to the year 16,The rule lasted from the year 1601 to the year 16,76
The testing lasted from the year 1132 to the year 11,The testing lasted from the year 1101 to the year 11,32
The quest lasted from the year 1402 to the year 14,The quest lasted from the year 1401 to the year 14,2
The growth lasted from the year 1273 to the year 12,The growth lasted from the year 1201 to the year 12,73
The trip lasted from the year 1605 to the year 16,The trip lasted from the year 1601 to the year 16,5
The program lasted from the year 1439 to the year 14,The program lasted from the year 1401 to the year 14,39
The project lasted from the year 1746 to the year 17,The project lasted from the year 1701 to the year 17,46
The tests lasted from the year 1209 to the year 12,The tests lasted from the year 1201 to the year 12,9
The order lasted from the year 1455 to the year 14,The order lasted from the year 1401 to the year 14,55
The contact lasted from the year 1261 to the year 12,The contact lasted from the year 1201 to the year 12,61
The process lasted from the year 1426 to the year 14,The process lasted from the year 1401 to the year 14,26
The tests lasted from the year 1379 to the year 13,The tests lasted from the year 1301 to the year 13,79
The testing lasted from the year 1181 to the year 11,The testing lasted from the year 1101 to the year 11,81
The work lasted from the year 1682 to the year 16,The work lasted from the year 1601 to the year 16,82
The employment lasted from the year 1580 to the year 15,The employment lasted from the year 1501 to the year 15,80
